2026-05-21 16:39:12 | ERROR    | audio_manager        | Initialisation volume master : 'AudioDevice' object has no attribute 'Activate'
2026-05-21 16:39:12 | INFO     | audio_manager        | Microphone initialisé
2026-05-24 23:51:15 | ERROR    | audio_manager        | Initialisation volume master : 'AudioDevice' object has no attribute 'Activate'
2026-05-24 23:51:15 | INFO     | audio_manager        | Microphone initialisé
2026-05-24 23:51:15 | INFO     | agent                | ============================================================
2026-05-24 23:51:15 | INFO     | agent                | Kore Deck — Agent PC v2.0
2026-05-24 23:51:15 | INFO     | agent                | Port : COM3 | WS : ws://localhost:8765
2026-05-24 23:51:15 | INFO     | agent                | ============================================================
2026-05-24 23:51:15 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:51:15 | INFO     | serial_manager       | Threads série démarrés
2026-05-24 23:51:15 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:51:16 | INFO     | system_monitor       | HWiNFO non disponible — FPS désactivé
2026-05-24 23:51:16 | INFO     | serial_manager       | Port série fermé
2026-05-24 23:51:16 | INFO     | agent                | Agent arrêté
2026-05-24 23:55:02 | ERROR    | audio_manager        | Initialisation volume master : 'AudioDevice' object has no attribute 'Activate'
2026-05-24 23:55:02 | INFO     | audio_manager        | Microphone initialisé
2026-05-24 23:55:02 | INFO     | agent                | ============================================================
2026-05-24 23:55:02 | INFO     | agent                | Kore Deck — Agent PC v2.0
2026-05-24 23:55:02 | INFO     | agent                | Port : COM3 | WS : ws://localhost:8765
2026-05-24 23:55:02 | INFO     | agent                | ============================================================
2026-05-24 23:55:02 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:55:02 | INFO     | serial_manager       | Threads série démarrés
2026-05-24 23:55:02 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:55:02 | INFO     | system_monitor       | HWiNFO non disponible — FPS désactivé
2026-05-24 23:55:05 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:55:05 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:55:08 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:55:08 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:55:11 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:55:11 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:55:14 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:55:14 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:55:17 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:55:17 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:55:20 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:55:20 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
